,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
775,.((((..............(((...((((....((((..........))))...)))...(((.)))).)))..((((....(())))........))..)))).,-9.269999921321869,.(((..(((.....)))..)))(((((((.((((((.(((..(((..(((....))).)))..))).....((((((.....))))))))))))..).).))))),-23.399999618530273,105,263,263,4392,50,1,191
776,................(((........))).....(((...)))...(((......))).....(((((((.))))...)))...(((......)))........,-15.300000071525574,............((((((....)))))).(((((.....(((((.((.((.((..(((.......)))..)).)))))))))...)))))...............,-25.299999237060547,105,264,264,4649,66,1,278
777,....((((((.(((..((((.))).......))))(((((....(((()))))))))))))))..................(((((((.....))))))).....,-26.250000193715096,..(((((((..(((..(((((((....))).)))))))..))).)))).((((.((((((....)))))).)))).(((..(((((((.....))))))).))).,-36.79999923706055,105,255,255,4393,90,1,213
778,.......(((......))).............(((((......................(((....))))))))...............................,-9.33999977260828,.......(((((((...((....((((((.(((((((..((((.((((((....)))..)))..)))).))))).)).....))))))....))..)))))))..,-26.100000381469727,105,254,254,4165,36,1,206
779,...........(((((....(((.(((.)))..((((......))).))))).....((........))..))))..............................,-13.140000022947788,............((..((((..(((((.(((((((.(.....).)))))))))))).((........)))))).))....(((((((((....))))).))))..,-22.100000381469727,105,267,267,4519,60,1,313
780,..(((((.......((((((((((.)))))((((()))))...((((...)))))......))))..))))).................................,-20.639999747276306,...........((((.((.(((((.(.(((((((....))))))).)...))))).)))))).......((((....))))........................,-30.100000381469727,105,218,218,3335,125,1,207
781,..((((((...............................(((((((........)))))).)))))))((((((........(((......)))...))))))..,-21.240000009536743,...........................((........))(((((((.((((......)))))))))))((((((.....((((((......))))))))))))..,-26.100000381469727,105,231,231,3731,34,1,157
782,((((....))))..(((.......)))..((((((....((((((........((((((..)))))))))................)))))).......)))...,-16.049999732524157,(((..(..((((((.((((((.((...((.((.((....(((((((..((.....))...))))))))))))).)).)))..))).))))))..)..))).....,-24.299999237060547,105,270,270,4753,35,1,191
783,...(((((((..(((..(((.))).)))....))))))).(((.............((((..((((.(((..)))).(((....)))))).......))).)))),-18.030000001192093,.....(((((((......)))))))..........(((((((.(.........)))))))).((((((((...(((((((....))).)))).....)))))))),-36.29999923706055,105,228,228,3511,98,1,204
784,((((.......((((....((.)))).))..................((((.......((((()))).((((.........)))).......)))))))))....,-21.519999921321872,(((.......((.(((....((((...))))....))))).......))).....((.((((((((..((((.........))))..)))..))))).)).....,-27.5,105,257,257,4488,139,1,247
785,.........((((........(((.....))).(((((....)))))........((())))...)))...........((((......))))............,-10.97000002861023,(((((((((((((..(((((((.(((...(((((((((....)))))))))...))).)))))..........))..)))))..........)))))))).....,-24.399999618530273,105,225,225,3553,15,1,132
786,..........((((.....(((..))))..((((..))).(((((..))))))))).....((....))....................................,-19.19999998807907,........((((.(((((((.(.(.(((((((((......))))..))))).).))))).))).)))).....................................,-27.700000762939453,105,246,246,4084,107,1,196
787,.((((............................))))...............(((........)))..(((....)))...........................,-10.299999952316284,((((...................(((....((((.....))))....)))..(((........)))..(((....)))............))))...........,-16.100000381469727,105,238,238,3791,46,1,151
788,((((.((((...(((())))...))))..(((((................................)))))....((((((.....))))......))))))...,-18.029999807476997,((((.((((.......))))...))))..(((((.(((..((((((.......))))))..)).).))))).((.((((((...............)))))))).,-28.200000762939453,105,237,237,3760,21,1,152
789,.......(((((.(((((((....)))................))))).))))(((.((((...)))...........((((.))))))))..............,-13.269999921321869,.......(((((........((..(((...))).)).......)))))(((((((((..((....((....))....)).)))).)))))...............,-17.799999237060547,105,254,254,4103,33,1,179
