,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
0,(())......,99998.3984375,..........,0.0,10,2,2,2,0,0,2
1,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
2,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
3,((....))..,-0.4000000059604645,((....))..,-0.4000000059604645,10,3,3,4,0,0,4
4,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
5,(((...))).,1.399999976158142,..........,0.0,10,3,3,4,0,0,4
6,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
7,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
8,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
9,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
10,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
11,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
12,((...))...,5.400000095367432,..........,0.0,10,4,4,7,0,0,4
13,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
14,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
15,...((...)),3.700000047683716,..........,0.0,10,2,2,1,0,0,4
16,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
17,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
18,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
19,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
20,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
21,...((.))..,99998.796875,..........,0.0,10,2,2,2,0,1,4
22,((....))..,1.100000023841858,..........,0.0,10,2,2,2,0,0,4
23,-,10000000.0,((.....)).,-1.5,10,0,0,1,0,0,4
24,..((...)).,1.0,..........,0.0,10,5,5,9,0,1,4
25,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
26,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
27,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
28,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
29,...((...)),3.5,..........,0.0,10,2,2,2,0,0,3
30,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
31,..((....)),4.099999904632568,..........,0.0,10,2,2,2,0,0,4
32,(((.)))...,99991.6015625,..........,0.0,10,3,3,4,0,0,4
33,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
34,((...))...,2.5,..........,0.0,10,2,2,2,0,0,4
35,.(((.)))..,99993.703125,..........,0.0,10,2,2,2,0,0,4
36,((...))...,2.700000047683716,..........,0.0,10,3,3,4,0,0,4
37,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
38,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
39,((...))...,1.7000000476837158,..........,0.0,10,2,2,2,0,0,4
40,....((.....))..,1.5,...............,0.0,15,3,3,4,0,0,4
41,.((.....)).....,1.899999976158142,...............,0.0,15,4,4,7,0,0,4
42,....(((....))).,-3.5999999046325684,....(((....))).,-3.5999999046325684,15,6,6,10,0,1,4
43,...((......))..,1.7000000476837158,...............,0.0,15,6,6,13,0,1,6
44,........(((.))),99994.296875,...............,0.0,15,2,2,2,0,0,4
45,.((.....)).....,1.7000000476837158,...............,0.0,15,4,4,6,0,1,4
46,((.....))......,-0.8999999761581421,((.....))......,-0.8999999761581421,15,5,5,9,0,1,4
47,(((....))).....,-2.5,(((....))).....,-2.5,15,6,6,14,0,1,4
48,....((((...)))),0.8999999761581421,...............,0.0,15,4,4,4,0,0,4
49,((....)).......,2.5999999046325684,...............,0.0,15,4,4,6,0,1,4
50,((..........)).,2.9000000953674316,...............,0.0,15,5,5,6,0,1,4
51,..((.......))..,2.0999999046325684,...............,0.0,15,2,2,1,0,0,4
52,.((....))......,-0.30000001192092896,(((....))).....,-1.0,15,3,3,4,0,0,4
53,...(((....)))..,2.200000047683716,...............,0.0,15,9,9,31,0,1,5
54,..(((.....)))..,-3.599999904632568,..(((.....)))..,-3.5999999046325684,15,7,7,18,1,1,4
55,......((...))..,2.0999999046325684,...............,0.0,15,4,4,5,0,0,4
56,(((...)))......,1.2999999523162842,.((((.....)))).,-1.100000023841858,15,6,6,13,0,1,4
57,..((...))......,0.5,((((...))))....,-1.0,15,4,4,5,0,1,4
58,...(((.....))).,-1.5,...(((.....))).,-1.5,15,5,5,11,0,0,4
59,...((....))....,1.899999976158142,...............,0.0,15,4,4,6,0,1,4
60,..(((...)))....,1.899999976158142,...............,0.0,15,5,5,9,0,1,5
61,..(((()))).....,99994.296875,...............,0.0,15,3,3,4,0,0,4
62,(((....))).....,-0.30000001192092896,(((....))).....,-0.30000001192092896,15,2,2,2,0,0,3
63,........((...)),3.700000047683716,...............,0.0,15,2,2,2,0,0,4
64,..(((.....)))..,-0.30000001192092896,.((((.....)))).,-1.5,15,5,5,9,0,1,4
65,((...))........,4.800000190734863,...............,0.0,15,4,4,7,0,0,4
66,((........))...,-1.100000023841858,((........))...,-1.100000023841858,15,2,2,1,0,0,4
67,.((...)).......,1.0,...............,0.0,15,3,3,3,0,0,4
68,((....)).......,1.2000000476837158,...............,0.0,15,4,4,4,0,0,4
69,((..........)).,2.0999999046325684,...............,0.0,15,4,4,4,0,0,4
70,.(((......)))..,-0.6000000238418579,.(((......)))..,-0.6000000238418579,15,4,4,5,0,0,4
71,.((..........)),3.099999904632569,...............,0.0,15,6,6,10,0,1,4
72,.......((.))...,99996.0,...............,0.0,15,4,4,4,0,0,4
73,((......)).....,2.200000047683716,...............,0.0,15,5,5,7,0,1,4
74,.((......))....,1.2999999523162842,...............,0.0,15,5,5,7,0,1,4
75,...((.....))...,1.600000023841858,...............,0.0,15,6,6,9,0,1,4
76,((...))........,0.4000000059604645,...............,0.0,15,3,3,3,0,0,4
77,.((....))......,0.20000000298023224,.((((....))))..,-4.0,15,6,6,11,1,1,6
78,.((.......))...,1.0,...............,0.0,15,5,5,7,0,1,4
79,...((........)),-0.5,...((........)),-0.5,15,5,5,6,0,0,4
80,....((........))....,0.4000000059604645,..((((........)).)).,-0.6000000238418579,20,9,9,22,1,1,7
81,.....(((.......)))..,-3.700000047683716,.....(((.......)))..,-3.700000047683716,20,9,9,18,0,1,6
82,.........((......)).,1.600000023841858,....................,0.0,20,7,7,14,0,0,4
83,...(((...........))),-2.5000000000000004,...(((...........))),-2.5,20,5,5,9,0,1,4
84,......(((.......))).,-2.9000000953674316,......(((.......))).,-2.9000000953674316,20,11,11,33,0,1,5
85,..(((.......))).....,0.699999988079071,....................,0.0,20,9,9,18,1,1,5
86,........(((......))),-0.699999988079071,........(((......))),-0.699999988079071,20,6,6,9,0,1,4
87,.((.....))(((....))),-3.5000001192092896,.((.....))(((....))),-3.5,20,11,11,30,1,1,6
88,......(((.....)))...,0.6000000238418579,....................,0.0,20,4,4,6,0,1,4
89,..((.........)).....,0.5,(((((.....))))).....,-5.5,20,8,8,15,0,1,4
90,....((....))........,1.2999999523162842,.((((((.......)))))),-2.4000000953674316,20,5,5,7,0,1,4
91,..........((....))..,2.0999999046325684,....................,0.0,20,8,8,15,0,1,5
92,.....(((.......)))..,-1.5,...(.(((.......)))).,-1.600000023841858,20,4,4,4,0,1,4
93,((....(())....))....,-2.5,(((((........)))))..,-4.900000095367432,20,13,13,49,4,1,7
94,...........((....)).,0.4000000059604645,....(((......)))....,-0.10000000149011612,20,11,11,27,1,1,5
95,..(((.....))).......,0.30000001192092896,....................,0.0,20,9,9,28,0,1,5
96,(((....((()))..)))..,-4.0,(((.((....))..)))...,-4.900000095367432,20,12,12,48,6,1,5
97,.((..........)).....,0.30000001192092896,(((...)))...........,-3.0,20,5,5,6,0,1,4
98,.........((.....))..,0.8999999761581421,(((........)))......,-0.30000001192092896,20,9,9,20,1,1,5
99,...(((..))).........,99993.0,...((....)).........,-0.800000011920929,20,4,4,6,0,1,4
100,....(((........)))..,-0.699999988079071,....((((......))))..,-2.299999952316284,20,10,10,30,0,1,6
101,...........((....)).,1.2999999523162842,(((...)))...........,-1.2999999523162842,20,8,8,15,0,1,4
102,..((.....)).........,-0.10000000149011612,..((.....)).........,-0.10000000149011612,20,6,6,10,0,1,4
103,...(((........)))...,-3.099999904638547,...(((........)))...,-3.0999999046325684,20,3,3,3,0,1,4
104,(((..........)))....,-1.2999999523162842,(((((....)))))......,-5.5,20,9,9,26,0,1,5
105,..........((.....)).,0.800000011920929,....................,0.0,20,2,2,2,0,1,4
106,........((.....))...,1.100000023841858,....................,0.0,20,10,10,31,1,1,5
107,....((((....))))....,-1.800000049173832,..((((......))))....,-5.300000190734863,20,8,8,19,2,1,5
108,((.....))...........,1.2000000476837158,....................,0.0,20,8,8,15,0,1,4
109,..(((....)))........,-1.399999976158142,..(((....)))........,-1.399999976158142,20,6,6,13,0,1,4
110,.(((....))).........,-0.699999988079071,..((((......))))....,-1.7000000476837158,20,7,7,13,0,1,4
111,((.......)).........,2.5,....................,0.0,20,7,7,12,0,0,4
112,..(((....)))........,-0.5,(.(((....))).)......,-1.399999976158142,20,10,10,26,0,1,4
113,...((.....))........,-0.20000000298023224,...(((...)))........,-1.100000023841858,20,8,8,18,0,1,5
114,.(((.............))),1.2999999523162842,....((((((....)))))),-3.9000000953674316,20,7,7,13,1,1,4
115,(((((..........))))),-2.4000000953674316,((((((.......).))))),-3.5,20,7,7,14,0,1,4
116,((......))..........,-0.6000000238418579,((......))..........,-0.6000000238418579,20,12,12,35,0,1,5
117,.((....))...........,1.5,....................,0.0,20,6,6,10,0,0,4
118,((.........)).......,0.5,...(((....))).......,-2.700000047683716,20,7,7,12,0,1,4
119,..(((...))).........,-1.0,..(((...))).........,-1.0,20,10,10,22,0,1,4
120,....(((............)))...,-3.700000047683716,((...((((...))))...))....,-5.5,25,19,19,83,4,1,8
121,...(((.............)))...,0.800000011920929,((.(((..(.......)..))))).,-0.5,25,13,13,35,1,1,7
122,........(((........)))...,1.2999999523162842,............((((.....)))),-0.30000001192092896,25,8,8,12,1,1,4
123,.......((((....))))......,-2.299999952316284,.......((((....))))......,-2.299999952316284,25,12,12,33,1,1,5
124,.........(((........)))..,-0.6000000238418579,.........(((........)))..,-0.6000000238418579,25,12,12,41,0,1,5
125,........(((.........)))..,0.30000001192092896,........(((((....)).)))..,-2.799999952316284,25,15,15,56,0,1,5
126,............(((....)))...,-1.2000000476837158,............(((....)))...,-1.2000000476837158,25,11,11,26,0,1,5
127,.....(((....)))..........,-0.6000000238418579,.....(((....)))..........,-0.6000000238418579,25,11,11,22,0,1,5
128,......((....))...........,-0.20000000298023224,..(((.((....)).))).......,-2.200000047683716,25,14,14,41,0,1,5
129,...((......))............,-0.4000000059604645,...(((...))).(((.....))).,-1.2000000476837158,25,12,12,27,0,1,5
130,...........(((......)))..,-0.10000000149011612,........((((((.....)))))),-2.799999952316284,25,19,19,79,0,1,6
131,..((.......))............,-0.30000001192092896,.(((.......)))...........,-0.5,25,11,11,21,0,1,5
132,.........((....))........,0.4000000059604645,..(((((((.....)))))))....,-3.9000000953674316,25,9,9,21,0,1,6
133,(((...(((......)))...))).,-4.899999976158142,(((...(((......)))...))).,-8.899999618530273,25,15,15,57,0,1,6
134,.....(((...........)))...,-0.20000000298023224,.........(((((...)))))...,-3.0,25,16,16,62,0,1,6
135,....(((((...........))))),-1.2999999523162842,..((((..(((....))).))))..,-3.700000047683716,25,17,17,80,0,1,6
136,.......(((.....))).......,-1.399999976158142,.....((((.((...)).))))...,-3.700000047683716,25,10,10,27,1,1,5
137,.((........))............,0.699999988079071,.........((((.....))))...,-0.10000000149011612,25,19,19,73,1,1,6
138,.(((....)))..............,0.6000000238418579,.........................,0.0,25,5,5,6,0,1,4
139,........(((.......)))....,0.30000001192092896,.........................,0.0,25,11,11,34,0,1,6
140,.........(((((..))).))...,-2.800000011920929,.((.((...(((....))))).)).,-4.599999904632568,25,18,18,79,4,1,8
141,(((.........)))..........,1.0,....((((...))))..........,-0.5,25,11,11,27,1,1,5
142,..(((..............)))...,-0.4000000059604645,.(((((((........)))))))..,-6.699999809265137,25,11,11,28,0,1,5
143,.....(((.......))).......,1.600000023841858,.........................,0.0,25,24,24,143,0,1,9
144,....(((..............))).,-0.6000000238418579,..............((((...)))),-1.7999999523162842,25,12,12,38,1,1,7
145,......((......)).........,1.0,...((((.((......)).))))..,-0.20000000298023224,25,12,12,31,1,1,5
146,..........((((.......)))),-2.0999999046325684,..........((((.......)))),-2.0999999046325684,25,18,18,75,1,1,6
147,......(((((((....))))))).,-6.400000095367432,......(((((((....))))))).,-6.400000095367432,25,11,11,29,1,1,5
148,.........((..........))..,-0.30000001192092896,.......((((..........)))),-2.0,25,13,13,31,0,1,5
149,..((......)).............,-0.5,..((......)).............,-0.5,25,8,8,14,0,0,4
150,................((....)).,0.699999988079071,.........................,0.0,25,14,14,40,1,1,5
151,.......(((.........)))...,-2.200000047683716,.......(((.........)))...,-2.200000047683716,25,11,11,30,0,1,5
152,((((..........)))).......,-4.099999904632568,((((..........)))).......,-4.099999904632568,25,12,12,33,0,1,5
153,(((((((())))...))))......,-2.1999999582767487,((((....)))).............,-1.7999999523162842,25,13,13,38,0,1,5
154,...(((........((())).))).,-3.100000023841858,.((((((......)))..)))....,-2.299999952316284,25,15,15,60,0,1,6
155,...(((....((((..)))))))..,-2.800000011920929,..........((((.....))))..,-2.5,25,10,10,24,0,1,5
156,.((((((...))).....)))....,-5.400000095367432,....(((((......)).)))....,-4.900000095367432,25,19,19,89,3,1,7
157,.......((((..........)))),-0.4000000059604645,.......((((.((....)).)))),-0.5,25,13,13,39,0,1,5
158,....((((........)))).....,-6.199999809265137,.((.((((........))))))...,-8.0,25,15,15,51,0,1,5
159,(((......))).............,-2.4000000953674316,.((((...)))).............,-3.9000000953674316,25,8,8,18,0,1,5
160,..(((...................)))...,-0.699999988079071,..(((.(((...........))).)))...,-5.0,30,19,19,73,0,1,6
161,...................((....))...,0.699999988079071,..........(((((....)))))......,-1.7999999523162842,30,12,12,23,0,1,5
162,..((((..............))))......,-2.0999999046325684,..((((..((((....))))))))......,-2.799999952316284,30,18,18,70,0,1,6
163,....((((.................)))).,-3.0,....((((.((((((....)))))))))).,-8.5,30,17,17,57,2,1,7
164,....(((.....(((...)))....)))..,-3.5000000968575478,(((.(((.((.....)).)))....)))..,-5.0,30,15,15,43,0,1,5
165,..................(((....)))..,-1.2000000476837158,................(.(((....)))).,-1.7999999523162842,30,17,17,59,1,1,7
166,......................((...)).,1.2000000476837158,...............((((...))))....,-2.0,30,15,15,43,0,1,7
167,.....(((........)))...........,0.5,...((((....))))...............,-0.5,30,21,21,93,1,1,8
168,(((......................)))..,0.800000011920929,..............................,0.0,30,19,19,86,1,1,8
169,.........(((....)))...........,0.30000001192092896,...(((((.(((....))).))))).....,-0.4000000059604645,30,19,19,73,0,1,8
170,....((....................))..,0.5,....((...((((........)))).))..,-0.6000000238418579,30,19,19,80,0,1,8
171,..(((...........((()))..)))...,-5.799999952316284,((((((((......))..))))))......,-7.099999904632568,30,23,23,116,3,1,7
172,...((((............)))).......,-2.9000000953674316,...((((............)))).......,-2.9000000953674316,30,12,12,46,3,1,9
173,..(((................)))......,1.399999976158142,(((((((((((.....))))).))))))..,-5.400000095367432,30,16,16,45,1,1,7
174,..........(((((.....((.))))))),-6.700000196695328,..........(((((........)))))..,-6.300000190734863,30,17,17,55,1,1,5
175,((((.....)))).((((........)))),-7.6000001430511475,((((.....)))).((((........)))),-7.599999904632568,30,17,17,72,2,1,8
176,.........((((.........))))....,-2.5,..(.(((.((........)).))).)....,-5.300000190734863,30,19,19,62,3,1,7
177,.......(((....)))((((....)))).,-0.7999999895691872,.......(((....)))((((....)))).,-0.800000011920929,30,22,22,111,0,1,7
178,...((((...........))))........,-2.0999999046325684,...((((.(((....)))))))........,-7.199999809265137,30,17,17,66,0,1,6
179,..(((.....(((...))).))).......,-3.799999952316284,..((((.........))))(((.....))),-4.800000190734863,30,24,24,117,1,1,7
180,....(((......)))..............,-2.700000047683716,.....(((((.(((.....))).)).))).,-3.799999952316284,30,20,20,66,0,1,6
181,............((.((((.))))))....,-5.300000190734863,...............((((...))))....,-4.300000190734863,30,21,21,102,0,1,11
182,.............((((((..))))))...,-2.399999976158142,............(((.(((.....)))))),-6.0,30,20,20,85,3,1,8
183,....(((....)))................,0.6000000238418579,..............................,0.0,30,15,15,48,1,1,7
184,((.......(((...)))))..........,-1.0,..((.((........)).))..........,-1.7999999523162842,30,20,20,83,0,1,6
185,......((........((..))..))....,-1.9000000357627869,....((((.............)))).....,-3.9000000953674316,30,20,20,76,0,1,6
186,..........((((....))))........,-4.0,.......((.((((....)))).)).....,-5.400000095367432,30,19,19,73,4,1,6
187,..........(((...)))...........,-2.799999952316284,..........((((.......)))).....,-3.0,30,17,17,47,0,1,7
188,......(((...)))...............,-2.700000047683716,......(((.(((((....)).))).))).,-5.199999809265137,30,17,17,58,0,1,7
189,......((((.....(()))))).......,-4.6999999061226845,......(((((.....))))).........,-6.099999904632568,30,19,19,86,3,1,7
190,.........(((.....)))..........,-0.20000000298023224,..((.....(((.....))).....))...,-1.7999999523162842,30,20,20,86,0,1,6
191,................(((....)))....,0.30000001192092896,....(((......)))..............,-1.600000023841858,30,18,18,69,0,1,6
192,.((.(((())..............))))..,-4.399999916553497,....((((....((......))..))))..,-5.599999904632568,30,18,18,56,0,1,6
193,....(((.(((((.))).......))))).,-4.600000023841858,((.((.(((((......))))))).))...,-9.100000381469727,30,16,16,52,1,1,6
194,.........((......))...........,-0.699999988079071,....(((.(((((....)))))))).....,-5.900000095367432,30,18,18,65,0,1,6
195,...(((.............((.)))..)).,-2.7999998927116394,.(((((((....)))..)))).........,-5.699999809265137,30,27,27,139,3,1,10
196,................((((....))))..,-6.0,..............((((((....)))))),-7.800000190734863,30,18,18,67,0,1,6
197,...............((((......)))).,-7.599999904632568,...............((((......)))).,-7.599999904632568,30,21,21,94,0,1,10
198,...........((.........))......,-0.10000000149011612,.......(((.((.........)).)))..,-0.20000000298023224,30,19,19,90,0,1,6
199,...(((((((.......)))....))))..,-2.1999999284744263,...(((((((((.....)))))..))))..,-8.199999809265137,30,19,19,82,4,1,6
200,..............((((.(((())))...)))).,-4.400000095367432,...........((.((((.....)))).)).....,-7.099999904632568,35,28,28,150,4,1,11
201,...........((.(((((..)).)).))).....,-5.900000125169754,.............(((.((.....)).))).....,-7.699999809265137,35,31,31,161,12,1,11
202,.........(((((.............)))))...,-2.0999999046325684,.........(((((..(((...)))..)))))...,-4.099999904632568,35,27,27,123,0,1,7
203,.....(((((.......((())))).)))......,-4.9000000059604645,.....(((((..........)))))..........,-4.5,35,22,22,83,0,1,7
204,(((.........((((........))))..)))..,-5.699999928474426,((((((((....))))((((....)))).))))..,-7.199999809265137,35,22,22,94,0,1,7
205,.........(((((((..)))........))))..,-0.6000000014901161,(.((((......)))).).................,-2.299999952316284,35,29,29,161,0,1,8
206,...........((((...........)))).....,-4.0,........((((((..........)))))).....,-7.5,35,22,22,87,0,1,7
207,...(((((......)))))................,-2.799999952316284,.(((((((......)))))))..............,-4.900000095367432,35,25,25,96,0,1,7
208,.....((((.......))))...............,-1.7000000476837158,.....((.(((.((((((....)))))).))))).,-8.100000381469727,35,27,27,123,1,1,10
209,....((((......(((....))))..))).....,-5.800000071525574,....((((.............))))..........,-3.9000000953674316,35,27,27,127,0,1,8
210,....(((.............)))............,-1.2999999523162842,.((((.(((.....).)))))).............,-2.5,35,28,28,142,0,1,8
211,............((((......)))).........,-7.5,............((((......)))).........,-7.5,35,19,19,57,2,1,6
212,.........(((...............))).....,-0.800000011920929,....((((.(((...............))))))).,-2.5999999046325684,35,19,19,76,5,1,9
213,.....................((........))..,-0.4000000059604645,...(((..((.((...))...))..))).......,-2.299999952316284,35,20,20,65,1,1,7
214,.........(((...))).................,-0.6000000238418579,...((((.((((...))))))))............,-4.800000190734863,35,24,24,101,0,1,7
215,...(((((....................)))))..,-1.899999976158142,..((((((....................)))))).,-2.0999999046325684,35,32,32,187,1,1,11
216,((((.....))))..(((.........))).....,-8.099999904632568,((((.....))))..(((.........))).....,-8.100000381469727,35,20,20,78,3,1,7
217,((..(((...((()).....))).)))........,-4.900000050663948,.((.(((..(((((....))))))).).)).....,-6.599999904632568,35,29,29,140,4,1,10
218,.((((...((((.......)))).......)))).,-5.400000095367432,.((((...((((.......)))).......)))).,-5.900000095367432,35,26,26,119,1,1,10
219,.......(((......(((......))))))....,-1.5,.........(((....(((......)))....))),-1.2999999523162842,35,30,30,144,0,1,9
220,(((.......)))......................,-0.4000000059604645,..(((....((((....)))))))...........,-3.200000047683716,35,25,25,113,0,1,8
221,..(((((((.((..........)))))))))....,-8.099999904632568,..(((((((.((..........)))))))))....,-10.699999809265137,35,29,29,144,0,1,11
222,.............((..(((..))....)))....,-2.200000047683716,..............((.(((........))).)).,-4.199999809265137,35,25,25,125,1,1,8
223,.........((((((((..)))).......)))).,-7.3999998569488525,..((((...(((((....)))))....))))....,-7.099999904632568,35,22,22,81,5,1,9
224,((..(((.))...)))(((.((..)))))......,-7.400000035762787,..((((..(((...((....)).))).))))....,-6.800000190734863,35,34,34,211,10,1,16
225,.......((((.............)))).......,-1.5,...(((((................)))))......,-2.0999999046325684,35,24,24,104,1,1,10
226,.........(((((...))).........))....,-4.600000001490116,((((((.........))))))..............,-8.300000190734863,35,33,33,209,1,1,14
227,.....((((((...)))...)))............,-5.700000047683716,(((.(((....))))))..................,-6.699999809265137,35,30,30,167,1,1,14
228,.....((((..............))))........,-0.6000000238418579,.....((((.((........)).))))........,-2.299999952316284,35,19,19,67,0,1,6
229,((.(((())......((())))...))).......,-3.600000098347664,(((.(((.((((....)))).)....)).)))...,-7.800000190734863,35,26,26,134,2,1,10
230,..((((......(((......)))).....)))..,-4.0000001192092896,...((..(.((..(((.....))).)))..))...,-6.0,35,22,22,104,1,1,9
231,.(((((...((((.....)).))).))))......,-4.500000096857548,.(((((....((((...))))))).))........,-6.5,35,22,22,95,4,1,7
232,.......((((((........))))))........,-7.599999904632568,.((....((((((........))))))...))...,-8.399999618530273,35,26,26,121,0,1,8
233,.......((......)).((((((.)))...))).,-2.300000011920929,(((((.......))))).(((....))).......,-4.599999904632568,35,22,22,99,0,1,7
234,...(((............)))..............,-2.5,...(((.((......)).)))..............,-3.299999952316284,35,20,20,71,0,1,7
235,....((((......)))).................,-2.0999999046325684,....((((......))))((............)).,-2.5,35,23,23,98,0,1,7
236,((((.....((.)))).((((..))......)))),-2.5999999195337296,((((.(((((.....))).))))))..........,-6.099999904632568,35,18,18,56,1,1,6
237,.(((((((.............))))))).......,-10.800000190734863,.(((((((.............))))))).......,-10.800000190734863,35,25,25,117,0,1,7
238,((........)).....(((.......))).....,-2.099999964237213,....(((..(((((.........))).))..))).,-6.0,35,27,27,132,0,1,8
239,.............(((.....)))...........,-2.0,.............(((((.......))))).....,-3.700000047683716,35,20,20,72,1,1,8
240,(((((.....(((....))).............)))))..,-2.399999976158142,((((((.((.(((....)))..........))))))))..,-3.0999999046325684,40,26,26,121,0,1,9
241,..(((((((.....((....))......))))))).....,-10.999999642372131,..(((((((...(((((...)))))...))))))).....,-16.600000381469727,40,34,34,209,3,1,13
242,....((....)).....(((((...)))))..........,-3.6999999284744263,((((((((........))))))))................,-10.600000381469727,40,30,30,145,1,1,11
243,......................((............))..,0.6000000238418579,........................................,0.0,40,24,24,104,1,1,9
244,.....((((...............))))............,-4.599999904632568,.......((((.((((((........))))..)).)))).,-7.300000190734863,40,29,29,134,3,1,9
245,...............(((.................)))..,0.6000000238418579,((.(((((((((((.....))))))))......))).)).,-6.099999904632568,40,33,33,189,1,1,12
246,.((........)).....((((............))))..,-3.300000049173832,.((........))....((((((((....)))..))))).,-4.800000190734863,40,41,41,239,1,1,13
247,............(((.......)))...............,-1.2000000476837158,.(.(((..(((.(((.......))).)))...))).)...,-3.700000047683716,40,32,32,177,3,1,13
248,.............................((.......)),1.7000000476837158,........................................,0.0,40,23,23,93,0,1,7
249,.....(((........))).....................,-1.2999999523162842,.(((.(((.((((........))))..))).)))......,-5.199999809265137,40,37,37,208,0,1,10
250,.................((............)).......,0.10000000149011612,.............((((.(((......))).)))).....,-6.099999904632568,40,31,31,142,1,1,9
251,...(((...((()))...)))...(((......)))....,-5.80000014603138,.....((((((..((((.((...)).))))..))).))).,-12.199999809265137,40,38,38,214,5,1,12
252,.(((((..(((.....))))).......))).........,-7.799999892711639,.(((((.((....)).)))))......(((......))).,-9.600000381469727,40,36,36,219,0,1,11
253,.....((((......)))).....................,-5.699999809265137,((((.(((((....)))))..))))...............,-7.699999809265137,40,36,36,209,7,1,14
254,....((((((.....(((.....))))))......)))..,-9.999999761581421,....((((((....(((...)))))))))...........,-10.0,40,34,34,180,3,1,10
255,..............(((.......))).............,0.8999999761581421,........................................,0.0,40,22,22,89,1,1,7
256,...(((((............)))))...............,-5.5,.(((((((.(........).))))))).............,-10.399999618530273,40,29,29,135,3,1,10
257,..(((..........)))......................,-1.0,..(((..........)))......................,-1.0,40,27,27,143,0,1,12
258,...((((......(((......)))))))...........,-5.400000095367432,...((((......(((......)))))))...........,-5.199999809265137,40,42,42,272,2,1,12
259,..........(((.........(((........)))))).,-1.399999976158142,....((((((...)))))).....(((........)))..,-3.700000047683716,40,33,33,175,1,1,12
260,......(((......)))....(((.........)))...,-2.399999976158142,.(((.(((((....))))).)))(((((((...))))))),-12.399999618530273,40,39,39,248,1,1,13
261,((((.(((...)))))))......................,-7.400000095367432,((((.(((...)))))))......................,-11.600000381469727,40,43,43,300,0,1,15
262,....((....))............................,0.20000000298023224,((..((..((((.........).)))..)).....))...,-2.700000047683716,40,36,36,172,1,1,16
263,.(((.........)))..........((((...))))...,-1.0000000149011612,.(((.........)))..........((((...))))...,-1.0,40,43,43,306,0,1,13
264,.((((.........))))(((...)))(((....)))...,-6.8999998569488525,.((((..(...)..))))(((...)))(((....)))...,-7.5,40,30,30,152,16,1,12
265,...(((......((()))...)))................,-1.199999988079071,..((((((.......))...))))................,-2.9000000953674316,40,35,35,186,0,1,12
266,...((((.......)))).((((.............)))),-7.799999952316284,..((((...))))..((((((((....)))...)))))..,-10.699999809265137,40,42,42,286,6,1,14
267,....((((....))))....((((...)))).........,-3.600000098347664,...((((..(((..((((....))))..)))....)))).,-9.600000381469727,40,27,27,136,0,1,10
268,((.....))..((((......))))...............,-2.899999976158142,((.....)).....(.((((......)))).)........,-5.900000095367432,40,30,30,137,4,1,10
269,(((...)))(((...)))..(((.........))).....,-4.700000047683716,((....))(((((....(......)....)))))......,-7.400000095367432,40,41,41,278,5,1,13
270,...........(((................))).......,-2.9000000953674316,........((((((.(.((((.....).))).).)))))),-8.600000381469727,40,35,35,169,3,1,11
271,.((((....))))..((((((........)))))).....,-7.3999998569488525,.((((....))))..((((((........)))))).....,-7.400000095367432,40,33,33,183,3,1,11
272,.......((((....(((....)))..)))).........,-3.5,((.(((.((((....(((....)))..)))).))).))..,-7.900000095367432,40,34,34,189,8,1,11
273,................(((...............)))...,-1.2999999523162842,((((........))))(((.((.........)).)))...,-5.300000190734863,40,40,40,234,1,1,13
274,...............(((((.............)))))..,-0.800000011920929,(((((.(((.(.(((......)))).))))))))......,-6.699999809265137,40,31,31,171,0,1,9
275,(((..((((((.....))....))).....))))......,-4.3999999538064,..............((((..((((......)))).)))).,-5.900000095367432,40,35,35,199,8,1,10
276,....(((((.))...)))...(((((.......)))))..,-7.400000035762787,......(((......)))...(((((.......)))))..,-7.099999904632568,40,35,35,191,1,1,13
277,(((.(((()))...(((.((((..)))...))))))))..,-6.6999998688697815,.(((((((((......))).))))))..............,-9.899999618530273,40,35,35,188,0,1,10
278,..(((....)))............................,-1.7000000476837158,...((.(((((.((....)).)))))..))..........,-6.099999904632568,40,34,34,200,0,1,10
