dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.(((((....(((...........))).(((((.......))))).(((....)))..(((((.......)))))..)))))....,-22.0,-26.200000762939453,86,171,160,1.544340308,320,0
(((((((................(((((..........)))))......(((((.......))))))))))))....,-24.0,-24.299999237060547,77,125,117,0.435201017,234,0
..........((......)).......,-1.0,-0.699999988079071,27,12,0,0.0025579310000000003,0,0
........((((.........))))...............(((....))).....((((((......))))))........................,-8.0,-7.599999904632568,97,216,202,1.358146898,404,0
(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,-28.0,-31.399999618530273,85,166,158,0.6783357200000001,316,0
((((..........(((...(((.....)))......))).((((.(((....)))))))..((((......)))).............)))).,-17.0,-23.399999618530273,94,189,177,3.3338815480000004,354,0
((((((((((.......(((((...(((......)))..((((......(((....)))..((((.(((.....)))).....))))))))....)))).)))))))))).......,-34.0,-7.0,117,351,334,113.223435648,668,0
(((((((..((((........)))).(((((.......))))).....(((.......)))....)))))))....,-22.0,-25.5,76,139,133,0.261144364,266,0
......((((((((((......)))))))))).........,-20.0,-20.0,41,38,35,0.010039246,70,0
(((((((..((((......))))....((((((...(((.........)))..))))))...)))))))....,-8.0,-12.199999809265137,73,131,120,0.107686715,240,0
..(((((............)))))............,-5.0,-4.800000190734863,36,37,36,0.0067428620000000005,72,0
(((((((..((((........)))).(((((.......)))))((((((......))).)))...)))))))....,-25.0,-31.100000381469727,76,138,134,0.280605101,268,0
........(((((((((((....)))))))))))...........,-24.0,-23.600000381469727,45,54,48,0.012410458000000001,96,0
.............,0.0,0.0,13,2,0,0.002387577,0,0
(((((((..........................(((((((....))))..)))...........)))))))....,-14.0,-3.680000066757202,75,140,133,0.200377345,266,0
.(((((((.................((((....))))..(((......(((...))).....))))))))))....,-14.0,-5.5,76,122,110,0.28881822100000004,220,0
...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,-35.0,4.900000095367432,138,484,464,280.35252301900005,928,0
(((((((..(((............))).(((((.......))))).....(((((.......))))))))))))....,-30.0,-32.599998474121094,78,162,152,0.8833930830000001,304,0
......((((.......((((((.(((((..((((..........))))(((....)))..((((((((((((....)))))....)))).))))))))))))))))))....,-35.0,-1.2999999523162842,113,388,372,183.587765195,744,0
....((((((......))))))...,-8.0,-7.5,25,17,0,0.0026301980000000003,0,0
(((((((((((..........((((....))))...........((((...))))..(((((.......)))))))))))))))),-27.0,0.699999988079071,85,164,153,0.586256109,306,0
.........((((........)))).(((((.......))))).....(((((.......)))))...........,-15.0,-15.600000381469727,76,129,117,0.258206734,234,0
...((((.......)))).................,-6.0,-5.599999904632568,35,26,21,0.005028842,42,0
..........(((((..(((((...........)))))......((((((....................)))))).....))))).................,-14.0,-16.399999618530273,103,224,210,6.440286137,420,0
.......((((...(((....))).....................(((....))))))),-13.0,-13.899999618530273,59,100,88,0.069142961,176,0
(((((((.((((................)))).....(((((((...)))))))......)))))))....,-6.0,-7.800000190734863,71,156,145,0.072607612,290,0
((((((....)))...(((((........(((((......))).....(((((................)))))....))))).))))),-20.0,4.800000190734863,89,210,193,3.023283344,386,0
(((((((.(((...)))....(((.(((((.......))))).....(((((.......))))))))))))))).,-26.0,-8.300000190734863,75,130,121,0.7542841690000001,242,0
.................,0.0,0.0,17,5,0,0.0026597170000000002,0,0
(((((.(((.....)))..))))),-6.0,-7.699999809265137,24,11,0,0.002276924,0,0
((((.....(((....))).....)))),-6.0,-9.100000381469727,28,17,0,0.00238396,0,0
(((((((((...(((((((........))))))).....))))))))),-13.0,-14.899999618530273,48,67,0,0.004244658,0,0
...............,0.0,0.0,15,6,0,0.00221682,0,0
...(((((.((......)).))))).....(((((....)))))...(((((.......)))))...........,-16.0,-18.399999618530273,75,119,109,0.08518732100000001,218,0
((((((((((.......(((((...(((......)))..((((......(((....)))..((((.(((.....)))).....))))))))....)))).)))))))))).......,-34.0,-7.0,117,351,334,109.22316592700001,668,0
...(((...........(((....................((((..(((....)))..(((((...)))..))))......)))((((...)))))...))))........,-17.0,33.20000076293945,111,299,287,30.568523039000002,574,0
...(((((.........(((((.(((((.....(((...)))))))).......(((((...)))))...)))))....((((.....))))))))).,-22.0,12.600000381469727,98,257,238,24.396757355000002,476,0
(((((((((((.........)))))))).........((((....))))..))).....,-15.0,3.9000000953674316,59,71,68,0.024357612,136,0
......((((....(((.......))).....((((......)))).................(((((.......))))).))))(((......)))...............,-16.0,-18.299999237060547,112,288,272,9.327908801000001,544,0
((((..........((......)).(((((((...))))))).....(((((.......)))))...))))....,-22.0,-23.600000381469727,75,151,134,0.44545864500000004,268,0
((((.(((....)))...)))).,-9.0,-10.199999809265137,23,15,0,0.0026854360000000002,0,0
........(((((((((........((((.........))))..(((((((.................((.....)).)))))))))))))))).......,-18.0,10.5,101,261,246,3.4376422360000003,492,0
.........((((........)))).(((((.......))))).....(((((.......)))))...........,-16.0,-16.5,76,132,120,0.326334012,240,0
(((((((..(((...........))).(((((.......))))).((((((....)))))).(((((.......))))))))))))....,-34.0,-35.900001525878906,90,177,166,1.4585838910000002,332,0
.((((........((((..........))))..(((....))).............................)))).,-6.0,-7.599999904632568,77,115,109,0.08085967000000001,218,0
.((((((((.((((.......)))).(((((.......))))).....((((.......))))))))))))....,-10.0,-12.899999618530273,75,140,131,0.087887238,262,0
..(((((((..((.....))((((.......))))))))))).....((((((.......))))))..........,-16.0,-15.800000190734863,76,131,123,0.296557051,246,0
...............(((........))).............((((.......((((....................)))).....))))........,-9.0,-0.8999999761581421,98,199,184,3.9641049170000002,368,0
........(((((........)))))....(((((....(((((....(((....)))..........)))))....)))))(((((........)))))...,-28.0,-18.5,103,307,281,45.214739688,562,0
(((((((..((((........))))..((((.(((...)))).)))...((((.......)))).)))))))....,-26.0,-9.199999809265137,76,146,138,1.2794927230000002,276,0
(((((((((....(((((...(((.....)))......))))).......(((...(((((....))))).)))..((........))..((((((.....))))))...))))))))),-30.0,-36.5,119,280,268,25.842873717000003,536,0
((((...........((((......((((((......)))).)).((((....)))))))).((((......)))).............)))).,-19.0,-7.699999809265137,94,198,185,3.133730517,370,0
((((((((((........(((((((.((((...((((..............))))........))))...)))))))............))))))))))....,-26.0,-32.400001525878906,103,249,235,7.825780345,470,0
(((((.........)))))...............,-9.0,-9.300000190734863,34,26,23,0.005070029,46,0
(((((...................((((((.......))))))....(((((.......)))))..)))))....,-22.0,-23.700000762939453,75,123,114,0.15778081800000002,228,0
((((..(((....)))..)))),-7.0,-10.300000190734863,22,11,0,0.002550009,0,0
...(((((((((((.........))))..(((.((((...)))................(((....)))))))...)))))))........,-24.0,-5.300000190734863,91,240,223,8.245409236,446,0
(((((....))))),-8.0,-7.900000095367432,14,5,0,0.002557796,0,0
(((((((.(((.((((........)))).)))....(((....))).(((((.......))))))))))))....,-21.0,-29.200000762939453,75,128,120,0.129680077,240,0
((((.....................)))),-3.0,-2.700000047683716,29,14,0,0.0029028870000000003,0,0
....................,0.0,0.0,20,7,0,0.00244872,0,0
((((...((((....))))....)))),-9.0,-10.899999618530273,27,15,0,0.00242922,0,0
.(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,-27.0,-31.100000381469727,86,168,160,0.720384887,320,0
(((((((....................(((((.......)))))....(((.......)))..)))))))....,-6.0,-7.0,74,156,137,0.052778643,274,0
(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,-27.0,-28.5,76,141,129,0.25418436,258,0
(((((....))))).((((..((((((...((((.....((((....))))...))))..)))))).........)))).((......))..,-31.0,-19.200000762939453,92,251,240,29.313114644000002,480,0
......(((.....)))......,-1.0,-0.8999999761581421,23,14,0,0.002633818,0,0
(((((.(((.....)))..))))),-6.0,-7.699999809265137,24,11,0,0.0024549570000000002,0,0
(((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))))....,-24.0,-27.200000762939453,77,122,111,0.526038403,222,0
........(((((...)))))...((((((........................((((...))))))...........(((......))))...)))..,-10.0,26.700000762939453,99,235,226,7.778809805000001,452,0
(((((.........))))),-2.0,-1.7999999523162842,19,8,0,0.002331697,0,0
(((((((.....(((((.......)))))..........(((.............)))..))))))).,-16.0,-17.5,68,111,98,0.03288826,196,0
...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,-35.0,4.900000095367432,138,484,464,273.229038138,928,0
(((((..(((((((((.........)))).)))))..........(((...)))...(((((.......)))))..)))))....,-19.0,-1.2999999523162842,85,153,141,1.1079547170000001,282,0
...........((((((((................(((..................))).((((...........))))))))))))..............,-5.0,-7.300000190734863,101,297,273,0.6692514970000001,546,0
(((((.......))))),-4.0,-4.0,17,5,0,0.002520263,0,0
(((((((.......((((....))))..((((.......))))......(((((.......))))))))))))....,-20.0,-23.299999237060547,77,129,124,0.18662483100000002,248,0
.........(((((...(((......)))..((((......(((....)))....(((.((((...))))........)))))....))))....))),-16.0,23.100000381469727,98,239,226,6.410668579,452,0
(((((((...))))))),-8.0,-8.399999618530273,17,8,0,0.002730545,0,0
(((((((..((((........)))).(((((((...)))))))...........(((....))).)))))))....,-27.0,-30.600000381469727,76,137,126,0.574898203,252,0
(((((((....................(((.......)))...(((....))).....................................)))))))....,-8.0,-9.899999618530273,101,324,301,1.3875129430000002,602,0
.........((((.......)))).((((....))))...........((((.......))))..((.....)).,-14.0,-13.899999618530273,75,130,115,0.173618148,230,0
...((((.........((((((((((....(((......)))....((((....................))))))...)))).))))..)))).......,-8.0,18.5,101,231,221,2.9571431240000003,442,0
((((((...((((.........))))(((((.(((..........))).(((....)))....((((.((((...........)))).....)))))))))...))))))........,-28.0,-16.100000381469727,118,374,353,100.44048568800001,706,0
.((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))).....,-31.0,-33.0,77,152,144,0.347139676,288,0
.................,0.0,0.0,17,7,0,0.0026886260000000004,0,0
.((((((..((((........)))).(((((.......))))).....(((((.......))))))))))).....,-32.0,-34.099998474121094,76,154,142,0.7844404770000001,284,0
(((((((((....))))))))),-18.0,-17.899999618530273,22,13,0,0.002872035,0,0
.((((((((......(((.........)))....................(((........))).....)))))))).....,-8.0,-10.699999809265137,82,162,152,0.192230121,304,0
(((((((...................(((((((...)))))))....(((((.......))))))))))))....,-19.0,-20.299999237060547,75,122,114,0.086636499,186,0
(((((((..((((........)))).(((((.......))))).......(((.......)))..)))))))....,-17.0,-21.0,76,124,117,0.081413816,234,0
......(((((((((....(((.......)))......................(((((..((((.......))))........)))))))))...)))))..,-12.0,8.0,103,252,234,2.4786756910000003,468,0
(((((((..((((.(((.....))).(((((...))))))))).....(((((((...))))))))))))))....,-23.0,-9.199999809265137,76,138,129,0.36996009900000004,258,0
..(((((((....))))))),-11.0,-11.0,20,9,0,0.002478914,0,0
..((((...............))))..,-3.0,-3.4000000953674316,27,17,14,0.003725079,28,0
..........................(((((...)))))(((..(((.....))).......))),-2.0,-1.7999999523162842,65,115,103,0.018265743,206,0
(((((((...((((((.....))))))......))))))),-17.0,-17.700000762939453,40,26,0,0.002622263,0,0
(((((((((((......((((.........))))..............))).........((....))..))))))))....,-14.0,-15.0,82,165,152,0.309992129,304,0
.........(((((((......)))...((((.............))))....(((.((((.....)))).)))..)))).,-13.0,-17.600000381469727,81,147,134,0.348035296,268,0
.((((((((((((..........(((.....(((....))).....)))..........))))))).))))).....,-9.0,-19.399999618530273,77,134,125,0.108861069,250,0
((((((..((((.((((.....))))...))))...)))))),-10.0,-16.600000381469727,42,40,33,0.0055632500000000005,66,0
...((((...(((....(((((..(((...))))...)))..((((.........((((...)))))......))))......))))...))).,-13.0,47.20000076293945,94,222,210,6.536180443,420,0
....(((((..((((...))))...(((...))).....)))))..(((....))).....(((.....))).((........))(((....))).......,-20.0,-20.0,102,262,247,20.551069468,494,0
(((((((......(((((...)))))......))))))),-14.0,-17.100000381469727,39,36,0,0.0033750890000000004,0,0
((((.....((((.........)))).(((((.......)))))......((((.......))))....))))....,-16.0,-20.100000381469727,77,133,126,0.529096522,210,0
(((((....))))).((((..((((((...((((.....((((....))))...))))..)))))).........)))).((......))..,-31.0,-19.200000762939453,92,251,240,29.158673525,480,0
......((((.......((((((.(((((..((((..........))))(((....)))..((((((((((((....)))))....)))).))))))))))))))))))....,-35.0,-1.2999999523162842,113,388,372,182.70640326,744,0
(((((((((((............))))))))))),-18.0,-17.5,34,30,0,0.0029458270000000003,0,0
.((((((.......((((....))))..((((.......))))......(((((.......))))))))))).....,-19.0,-22.0,77,126,120,0.14965034000000002,240,0
...............((((....))))...............,-6.0,-5.800000190734863,42,32,28,0.005050238,56,0
...((((....)))).......,-5.0,-5.199999809265137,22,11,0,0.002594087,0,0
....((((....................(((((.....(((....)))..(((((.....((((..........)))))....)))))..))))..))))....,-25.0,24.100000381469727,104,314,292,89.768320716,584,0
(((((((((((.........((((..........))))((((.....))))........................)))))))))))......,-33.0,-34.099998474121094,92,235,214,18.740392294,428,0
.................((((.....(((((...)))))))))....(((((.......)))))..((....)).,-22.0,-0.800000011920929,75,150,142,0.857055063,284,0
.(((((((....((((..........(((..((((.............))))(((((((....))).))))...)))..)))).....))))))).....,-22.0,-23.799999237060547,100,220,205,7.737590642000001,410,0
(((((((..(((...........))).(((((.......)))))................(((((.......))))))))))))....,-21.0,-24.600000381469727,88,181,167,0.6574556690000001,334,0
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16.0,3.5,76,137,123,0.237684847,246,0
