dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
..((.....))..........((...(((((...))..))))).....(((((.......)))))...........,-18,-0.100000001490116,76,142,127,71.816414015,254,0,
((((((...((((.........))))......((((......))))...(((((.......))))).))))))....,-23,-26,77,129,114,55.126837153,228,0,
....(((..((((...))).)))).(((((.......)))))....(((((....)))))...........,-10,3.20000004768372,71,114,107,25.140245613,214,0,
(((((....((((............(((((.........)))))......((((...))))))))...)))))....,-15,-4.30000019073486,77,140,128,66.361410215,256,0,
(((((((..((((.........)))).((((((.....))))))......((((.......)))).)))))))....,-27,-29.2999992370605,77,132,120,48.929003512,240,0,
.(((((((...................(((((.......)))))....(((((.......))))))))))))....,-20,-21.8999996185303,76,132,124,62.120450804,248,0,
...((((..((((........))))......................((((((.......)))))).)))).....,-9,-10.8999996185303,76,155,137,76.947331179,274,0,
.(((((((.((((((.(((......))).....(((....))).....(((....)))...))))))..))))))).,-32,-37.9000015258789,77,184,172,191.542724332,344,0,
(((((((....((((...))))....(((((.......)))))....(((((.......))))))))))))....,-22,-23.6000003814697,75,137,121,58.208726623,242,0,
....((...((((...)).))))..((......)).......,-7,12.1000003814697,42,40,36,0.124076195,72,0,
(((((((..((((((((.....))))....))))...((((....))))(((((.......))))))))))))....,-36,-20.2999992370605,77,190,162,192.816215981,324,0,
.........(((....)))............,-3,-2.70000004768372,31,17,10,0.00502196,20,0,
........((((......))))..((......))....((((.....)))).......,-12,-11.1999998092651,58,81,75,4.542329324,150,0,
(((((((................(((((..........)))))......(((((.......))))))))))))....,-24,-24.2999992370605,77,125,117,39.525713665,234,0,
(((((((..((((........)))).(((((.......))))).....(((.......)))....)))))))....,-22,-25.5,76,139,133,81.834453683,266,0,
(((((((..((((......))))....((((((...(((.........)))..))))))...)))))))....,-8,-12.1999998092651,73,131,120,44.927957159,240,0,
(((((((..........................(((((((....))))..)))...........)))))))....,-14,-3.6800000667572,75,140,133,81.121117807,266,0,
.(((((((.................((((....))))..(((......(((...))).....))))))))))....,-14,-5.5,76,122,110,31.079877654,220,0,
(((((((..(((............))).(((((.......))))).....(((((.......))))))))))))....,-30,-32.5999984741211,78,162,152,165.53987036,304,0,
...((((.......)))).................,-6,-5.59999990463257,35,26,21,0.010147524,42,0,
.......((((...(((....))).....................(((....))))))),-13,-13.8999996185303,59,100,112,11.543302383,394,129,
(((((((.((((................)))).....(((((((...)))))))......)))))))....,-6,-7.80000019073486,71,156,145,127.237110259,214,0,
(((((((.(((...)))....(((.(((((.......))))).....(((((.......))))))))))))))).,-26,-8.30000019073486,75,130,121,64.414012771,242,0,
...(((((.((......)).))))).....(((((....)))))...(((((.......)))))...........,-16,-18.3999996185303,75,119,109,30.266541865,218,0,
((((..........((......)).(((((((...))))))).....(((((.......)))))...))))....,-22,-23.6000003814697,75,151,134,82.852051112,268,0,
.........((((........)))).(((((.......))))).....(((((.......)))))...........,-16,-16.5,76,132,120,61.010070041,240,0,
.((((........((((..........))))..(((....))).............................)))).,-6,-7.59999990463257,77,115,109,33.40496876,218,0,
.((((((((.((((.......)))).(((((.......))))).....((((.......))))))))))))....,-10,-12.8999996185303,75,140,131,72.869433122,262,0,
..(((((((((.......))((((.......))))))))))).....((((((.......))))))..........,-16,-16.5,76,131,123,53.952432164,246,0,
(((((((..((((........))))..((((.(((...)))).)))...((((.......)))).)))))))....,-26,-9.19999980926514,76,146,138,88.454232583,276,0,
(((((...................((((((.......))))))....(((((.......)))))..)))))....,-22,-23.7000007629395,75,123,114,56.537544757,228,0,
(((((((.(((.((((........)))).)))....(((....))).(((((.......))))))))))))....,-21,-29.2000007629395,75,128,120,51.613247995,240,0,
(((((((....................(((((.......)))))....(((.......)))..)))))))....,-6,-7,74,156,137,101.636783423,274,0,
(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,-27,-28.5,76,141,129,66.850803964,232,0,
(((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))))....,-24,-27.2000007629395,77,122,111,34.951931399,222,0,
(((((((.......((((....))))..((((.......))))......(((((.......))))))))))))....,-20,-23.2999992370605,77,129,124,56.826498897,248,0,
.........((((.......)))).((((....))))...........((((.......))))..((.....)).,-14,-13.8999996185303,75,130,115,44.257156789,202,0,
.((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))).....,-31,-33,77,152,144,109.650749232,288,0,
.((((((..((((........)))).(((((.......))))).....(((((.......))))))))))).....,-32,-34.0999984741211,76,154,142,109.938986336,284,0,
(((((((...................(((((((...)))))))....(((((.......))))))))))))....,-19,-20.2999992370605,75,122,114,41.177297671,228,0,
(((((((..((((........)))).(((((.......))))).......(((.......)))..)))))))....,-17,-21,76,124,117,39.759265441,234,0,
(((((((..((((.(((.....))).(((((...))))))))).....(((((((...))))))))))))))....,-23,-9.19999980926514,76,138,129,72.024437058,258,0,
..........................(((((...)))))(((..(((.....))).......))),-2,-1.79999995231628,65,115,253,20.305338971,956,169,
.((((((((((((..........(((.....(((....))).....)))..........))))))).))))).....,-9,-19.3999996185303,77,134,125,65.031557508,250,0,
((((.....((((.........)))).(((((.......)))))......((((.......))))....))))....,-16,-20.1000003814697,77,133,126,58.761234376,252,0,
.((((((.......((((....))))..((((.......))))......(((((.......))))))))))).....,-19,-22,77,126,120,51.938673317,240,0,
.................((((.....(((((...)))))))))....(((((.......)))))..((....)).,-22,-0.800000011920929,75,150,142,91.025713625,284,0,
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16,3.5,76,137,123,53.406132547,246,0,
(((((((.......((((.......(((((...)))))))))....(((((.......))))))))))))....,-28,-6.69999980926514,74,125,111,29.057985851,222,0,
(((......((((........)))).(((((.......))))).....(((((.......)))))....)))....,-21,-24.7000007629395,76,130,121,59.230384463,242,0,
((((((((..((((........)))).(((((.......)))))......((((.......)))).))))))))...,-26,-28.5,77,114,177,29.983850574,527,66,
.((((......................(((((...)))))))))....(((...........)))...........,-6,14.6999998092651,76,136,121,52.825586353,242,0,
............(((....)))..........,-5,-4.90000009536743,32,19,16,0.005810761,32,0,
.(((((((...................(((((.......)))))....(((((.......))))))))))))....,-22,-23,76,126,114,44.11135524,228,0,
(((((((.......((((((((((.....))))))...........))))(((((.......))))))))))))....,-30,-30.5,78,143,133,91.176501833,218,0,
(((((((..(((((........)))))(((((........))))).....(((((.......))))))))))))....,-41,-43.7000007629395,78,205,178,254.336575603,356,0,
.........((((.((((...))))....)))).............(((((.......)))))....,-12,3.59999990463257,67,108,180,27.092849784,516,65,
..............(((....)))........,-5,-4.80000019073486,32,25,21,0.011472944,42,0,
.((((................((((........(((....)))...................))))......)))).,-6,-5.59999990463257,77,118,111,40.573132573,218,0,
(((((....((((.......)))).......................(((((.......)))))..)))))....,-12,-14,75,120,118,51.739759752,236,0,
(((((((....................(((((.......)))))....(((((.......))))))))))))....,-23,-24.5,76,147,138,91.840014051,276,0,
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16,3.5,76,136,123,53.312516722,246,0,
.........((((........)))).((((....))))...........((((.......))))..((.....)).,-15,-14.3999996185303,76,133,116,45.185079951,232,0,
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16,3.5,76,136,123,53.380279833,214,0,
.((((((....................(((((.......)))))....(((((.......))))))))))).....,-10,-10.6999998092651,76,167,152,124.511351077,304,0,
.((((((.........((((.(((....)))).........)))...(((((.......))))))))))).....,-19,-7,75,125,114,36.539438576,202,0,
((((.................(((..((((.......))))..(((((......)))))........))))))).,-13,-2.90000009536743,75,131,123,70.844217355,228,0,
(((((....((((.......))))..((((.....................))))))))),-2,13.8999996185303,60,119,172,23.952602326,1265,337,
(((((((((((((.............((((.........)))))))))).((((...........))))))))))),-15,-0.400000005960465,76,117,110,37.699055641,220,0,
(((((((...................(((((.......)))))....(((((.......)))))))))))).,-21,-22.8999996185303,72,122,112,35.027438217,180,0,
.........(((..........))).(((((.......))))).....(((((.......)))))..((....)).,-16,-16.3999996185303,76,130,120,55.427318086,240,0,
.((((((.(((((......((((..(((....)))..........))))).))))))))))......,-14,15.3999996185303,67,95,102,11.143668501,400,120,
..((((((((((..............(((((.......))))).......(((.......)))..))))).))))),-12,8.60000038146973,76,124,108,38.629549202,216,0,
(((((((.....................(((.(((.....))))))(((((.......))))))))))))....,-24,-28.2999992370605,74,146,130,58.381786243,260,0,
(((((((...................(((((.......)))))....(((((.......))))))))))))....,-17,-19.8999996185303,75,122,112,37.535620284,224,0,
.........((((......)))).(((((.......)))))....((((......))))...........,-11,-10.8000001907349,70,108,235,28.689034051,1422,354,
(((((((..................(((((.......))))).....((((.......)))).)))))))....,-19,-20.2999992370605,74,124,113,42.652410708,226,0,
(((((......................(((((.......)))))....(((((.......)))))..)))))....,-15,-16.7999992370605,76,140,129,73.163756484,258,0,
..........((((......)))).(((((.......)))))....(((((....)))))...........,-9,-9.19999980926514,71,128,114,42.185123398,228,0,
((((....((((.....))))......(((((((.....)))))))...(((...........))).......)))),-18,6.80000019073486,77,144,131,77.505962217,262,0,
.(((((........((.....))(((.....(((....))).....)))..(((.......)))...))))).,-12,-17.1000003814697,73,123,116,53.855130995,232,0,
.........((((.....)))).(((((.......)))))...((((((......))))))..........,-4,-4.80000019073486,71,168,149,115.662002996,298,0,
..............(((....)))............,-2,-1.89999997615814,36,27,22,0.013121621,44,0,
(((((((..((((.........))))((((((.......))))))....(((((.......))))))))))))....,-30,-33,77,146,136,73.397478492,272,0,
(((((........(((......))).(((((.......))))).....(((((.......)))))..)))))....,-22,-25.1000003814697,76,141,125,55.915329238,250,0,
.......(((((............((((((.......))))))..((((((.......)))))).....))))),-22,-23.7000007629395,74,135,118,42.991734989,236,0,
(((((((..(((..(((.....)))....((((....)))...)))).(((((.......))))))))))))....,-22,-6.40000009536743,76,131,120,52.506625437,240,0,
.........(((..(((......))).(((((....)))))))).....(((((.......))))).(((....))),-16,2.29999995231628,77,144,131,74.421779007,210,0,
..((((((((((.(((....)))...........................))))))....)))),-15,0.300000011920929,64,99,80,9.97223982,160,0,
(((((((..((((........)))).(((((.......)))))....((((((.......))))))..))))))).,-23,-18.2999992370605,76,133,123,49.093450114,246,0,
(((((((..((((.........)))).(((((.......)))))......((((.......)))).)))))))....,-28,-30.1000003814697,77,137,129,67.784185537,258,0,
..((((((..((((.....))))...............((((((.....))))))......)))))).....,-3,-4.30000019073486,72,168,151,120.755999235,280,0,
.....(((((((................(((......)))......))))...)))..,-4,9.89999961853027,58,58,57,0.945187836,114,0,
..((((.......))))................,-6,-5.59999990463257,33,23,15,0.007854795,30,0,
.........((((.......)))).((((.........))))....((((((.....))))))...........,-10,-9.19999980926514,74,141,135,76.105017011,270,0,
.((....)).......(((((((((..............(((....))).....)))).........))))).......,-13,-3.90000009536743,79,169,163,169.0319212,326,0,
((((((((.((((........))))........................(((.......)))..))))))))....,-8,-9.80000019073486,76,136,120,52.712309008,240,0,
.((((((......(((((......)))))..(((................(((((.......))))))))))).))).,-16,-0.100000001490116,78,145,128,68.260413734,216,0,
